time_s,pga_gal,mmi,category,vibration_detected
144.2,2.45,III,Weak,0
144.31,12.92,V,Moderate,1
144.42,0.94,I,Instrumental,0
144.54,5.66,IV,Light,1
144.64,1.65,II,Very Weak,0
144.76,11.96,V,Moderate,1
144.87,8.63,IV,Light,1
144.98,1.23,II,Very Weak,0
145.31,22.57,V,Moderate,1
145.42,11.18,V,Moderate,1
145.53,42.04,VI,Strong,1
145.64,21.85,V,Moderate,1
145.76,11.93,V,Moderate,1
145.87,1.42,II,Very Weak,0
145.98,15.95,V,Moderate,1
146.09,29.65,VI,Strong,1
146.2,4.15,III,Weak,0
146.31,17.17,V,Moderate,1
146.42,14.8,V,Moderate,1
146.54,13.22,V,Moderate,1
146.65,55.34,VII,Very Strong,1
146.77,61.53,VII,Very Strong,1
146.89,83.7,VII,Very Strong,1
146.99,10.64,V,Moderate,1
147.12,4.34,III,Weak,0
147.23,11.83,V,Moderate,1
147.34,6.62,IV,Light,1
147.45,9.87,IV,Light,1
147.56,1.68,II,Very Weak,0
147.67,6.37,IV,Light,1
147.79,17.56,V,Moderate,1
147.9,46.63,VI,Strong,1
148.0,100.51,VIII,Severe,1
148.12,1.26,II,Very Weak,0
148.23,12.15,V,Moderate,1
148.34,12.96,V,Moderate,1
148.45,18.3,V,Moderate,1
148.57,31.88,VI,Strong,1
148.67,13.98,V,Moderate,1
148.79,5.32,IV,Light,1
148.91,2.29,III,Weak,0
149.02,6.51,IV,Light,1
149.14,7.99,IV,Light,1
149.24,0.54,I,Instrumental,0
149.36,0.03,I,Instrumental,0
149.47,4.07,III,Weak,0
149.58,1.24,II,Very Weak,0
149.7,7.92,IV,Light,1
149.81,9.84,IV,Light,1
149.92,16.32,V,Moderate,1
150.04,3.0,III,Weak,0
150.15,4.14,III,Weak,0
150.25,0.59,I,Instrumental,0
150.37,9.56,IV,Light,1
150.61,2.6,III,Weak,0
150.72,1.56,II,Very Weak,0
150.84,43.73,VI,Strong,1
150.95,55.14,VII,Very Strong,1
151.06,31.02,VI,Strong,1
151.17,14.04,V,Moderate,1
151.29,4.25,III,Weak,0
151.4,21.18,V,Moderate,1
151.51,29.64,VI,Strong,1
151.63,48.67,VI,Strong,1
151.74,18.52,V,Moderate,1
151.86,22.17,V,Moderate,1
151.97,55.12,VII,Very Strong,1
152.09,79.26,VII,Very Strong,1
152.19,14.15,V,Moderate,1
152.31,42.85,VI,Strong,1
152.43,36.13,VI,Strong,1
152.55,9.68,IV,Light,1
152.66,60.94,VII,Very Strong,1
152.78,59.23,VII,Very Strong,1
152.88,15.93,V,Moderate,1
153.0,60.5,VII,Very Strong,1
153.11,11.85,V,Moderate,1
153.22,15.08,V,Moderate,1
153.33,48.15,VI,Strong,1
153.44,15.91,V,Moderate,1
153.56,51.75,VII,Very Strong,1
153.67,24.63,V,Moderate,1
153.78,19.53,V,Moderate,1
153.89,0.23,I,Instrumental,0
154.0,2.08,III,Weak,0
154.11,39.68,VI,Strong,1
154.23,24.54,V,Moderate,1
154.34,6.33,IV,Light,1
154.45,2.38,III,Weak,0
154.56,1.26,II,Very Weak,0
154.67,13.01,V,Moderate,1
154.79,2.59,III,Weak,0
154.91,15.06,V,Moderate,1
155.02,0.05,I,Instrumental,0
155.13,3.55,III,Weak,0
155.24,6.66,IV,Light,1
155.36,12.68,V,Moderate,1
155.47,2.03,III,Weak,0
155.59,5.71,IV,Light,1
155.69,0.03,I,Instrumental,0
155.81,5.73,IV,Light,1
155.92,4.77,III,Weak,0
156.04,21.97,V,Moderate,1
156.15,33.25,VI,Strong,1
156.26,23.42,V,Moderate,1
156.37,27.63,VI,Strong,1
156.49,43.07,VI,Strong,1
156.6,17.19,V,Moderate,1
156.71,25.54,VI,Strong,1
156.83,18.23,V,Moderate,1
156.94,3.9,III,Weak,0
157.05,2.59,III,Weak,0
157.17,22.68,V,Moderate,1
157.29,35.04,VI,Strong,1
157.4,5.75,IV,Light,1
157.51,71.53,VII,Very Strong,1
157.62,12.39,V,Moderate,1
157.74,75.65,VII,Very Strong,1
157.85,37.4,VI,Strong,1
157.96,26.86,VI,Strong,1
158.07,2.39,III,Weak,0
158.19,31.35,VI,Strong,1
158.3,6.47,IV,Light,1
158.41,6.14,IV,Light,1
158.52,7.78,IV,Light,1
158.64,57.21,VII,Very Strong,1
158.75,25.25,VI,Strong,1
158.86,88.24,VII,Very Strong,1
158.97,103.26,VIII,Severe,1
159.09,74.2,VII,Very Strong,1
159.2,79.82,VII,Very Strong,1
159.32,5.4,IV,Light,1
159.43,15.65,V,Moderate,1
159.54,3.44,III,Weak,0
159.65,1.64,II,Very Weak,0
159.76,5.39,IV,Light,1
159.88,17.27,V,Moderate,1
160.0,35.34,VI,Strong,1
160.11,73.36,VII,Very Strong,1
160.22,88.25,VII,Very Strong,1
160.34,81.39,VII,Very Strong,1
160.45,40.4,VI,Strong,1
160.57,28.78,VI,Strong,1
160.68,4.83,III,Weak,0
160.8,8.32,IV,Light,1
160.91,36.12,VI,Strong,1
161.02,20.72,V,Moderate,1
161.13,50.91,VII,Very Strong,1
161.24,5.96,IV,Light,1
161.35,10.79,V,Moderate,1
161.46,16.45,V,Moderate,1
161.57,2.72,III,Weak,0
161.68,10.67,V,Moderate,1
161.79,0.76,I,Instrumental,0
161.9,4.63,III,Weak,0
162.01,26.85,VI,Strong,1
162.11,7.31,IV,Light,1
162.22,49.3,VI,Strong,1
162.33,22.05,V,Moderate,1
162.44,3.91,III,Weak,0
162.55,4.55,III,Weak,0
162.66,12.36,V,Moderate,1
162.77,26.51,VI,Strong,1
162.88,44.6,VI,Strong,1
162.99,7.45,IV,Light,1
163.1,38.87,VI,Strong,1
163.21,28.36,VI,Strong,1
163.32,44.19,VI,Strong,1
163.44,12.05,V,Moderate,1
163.55,2.77,III,Weak,0
163.66,5.12,IV,Light,1
163.78,15.7,V,Moderate,1
163.89,18.53,V,Moderate,1
164.0,49.36,VI,Strong,1
164.11,1.91,II,Very Weak,0
164.22,40.92,VI,Strong,1
164.35,24.22,V,Moderate,1
164.46,45.35,VI,Strong,1
164.57,11.3,V,Moderate,1
164.68,4.41,III,Weak,0
164.78,11.87,V,Moderate,1
164.89,8.81,IV,Light,1
165.0,17.03,V,Moderate,1
165.11,8.94,IV,Light,1
165.22,4.78,III,Weak,0
165.34,0.71,I,Instrumental,0
165.45,1.09,II,Very Weak,0
165.56,34.66,VI,Strong,1
165.67,7.35,IV,Light,1
165.78,5.35,IV,Light,1
165.89,0.84,I,Instrumental,0
166.0,4.58,III,Weak,0
166.11,18.07,V,Moderate,1
166.23,9.61,IV,Light,1
166.34,4.17,III,Weak,0
166.45,1.78,II,Very Weak,0
166.56,5.13,IV,Light,1
166.67,212.57,VIII,Severe,1
166.77,34.14,VI,Strong,1
166.88,12.78,V,Moderate,1
166.99,140.1,VIII,Severe,1
167.1,5.48,IV,Light,1
167.21,5.82,IV,Light,1
167.32,43.03,VI,Strong,1
167.43,8.61,IV,Light,1
167.54,2.13,III,Weak,0
167.65,8.35,IV,Light,1
167.76,178.15,VIII,Severe,1
167.87,28.07,VI,Strong,1
167.97,10.7,V,Moderate,1
168.08,131.93,VIII,Severe,1
168.19,8.35,IV,Light,1
168.31,7.67,IV,Light,1
168.41,41.73,VI,Strong,1
168.52,9.06,IV,Light,1
168.63,4.94,III,Weak,0
168.74,4.36,III,Weak,0
168.85,0.02,I,Instrumental,0
168.96,1.13,II,Very Weak,0
169.07,2.59,III,Weak,0
169.19,0.07,I,Instrumental,0
169.29,0.02,I,Instrumental,0
169.41,0.58,I,Instrumental,0
169.52,0.17,I,Instrumental,0
169.63,0.08,I,Instrumental,0
169.73,0.12,I,Instrumental,0
169.85,0.1,I,Instrumental,0
169.96,0.88,I,Instrumental,0
170.07,0.13,I,Instrumental,0
170.18,0.29,I,Instrumental,0
170.29,0.34,I,Instrumental,0
170.4,1.2,II,Very Weak,0
170.51,1.82,II,Very Weak,0
170.61,0.21,I,Instrumental,0
170.72,1.12,II,Very Weak,0
170.84,0.34,I,Instrumental,0
170.94,0.06,I,Instrumental,0
171.06,0.83,I,Instrumental,0
171.16,0.11,I,Instrumental,0
171.27,0.43,I,Instrumental,0
171.38,0.42,I,Instrumental,0
171.49,0.88,I,Instrumental,0
171.6,0.88,I,Instrumental,0
171.71,0.08,I,Instrumental,0
171.82,1.35,II,Very Weak,0
171.92,0.44,I,Instrumental,0
