time_s,pga_gal,mmi,category,vibration_detected
217.99,32.25,VI,Strong,1
218.1,18.52,V,Moderate,1
218.21,9.21,IV,Light,1
218.32,10.62,V,Moderate,1
218.43,2.72,III,Weak,0
218.54,0.04,I,Instrumental,0
218.65,5.26,IV,Light,1
218.76,18.16,V,Moderate,1
218.88,5.08,IV,Light,1
218.99,2.76,III,Weak,0
219.1,4.49,III,Weak,0
219.22,11.75,V,Moderate,1
219.33,33.9,VI,Strong,1
219.45,20.19,V,Moderate,1
219.56,10.26,V,Moderate,1
219.67,20.61,V,Moderate,1
219.78,15.39,V,Moderate,1
219.9,15.0,V,Moderate,1
220.01,1.83,II,Very Weak,0
220.12,2.69,III,Weak,0
220.23,2.04,III,Weak,0
220.35,39.87,VI,Strong,1
220.46,0.72,I,Instrumental,0
220.57,24.0,V,Moderate,1
220.68,17.3,V,Moderate,1
220.81,19.57,V,Moderate,1
220.92,3.52,III,Weak,0
221.03,6.08,IV,Light,1
221.14,15.97,V,Moderate,1
221.26,6.71,IV,Light,1
221.37,5.0,IV,Light,1
221.49,35.49,VI,Strong,1
221.61,14.26,V,Moderate,1
221.72,84.49,VII,Very Strong,1
221.84,51.62,VII,Very Strong,1
221.95,49.35,VI,Strong,1
222.08,39.77,VI,Strong,1
222.18,2.94,III,Weak,0
222.3,43.71,VI,Strong,1
222.41,29.6,VI,Strong,1
222.53,48.21,VI,Strong,1
222.64,35.85,VI,Strong,1
222.74,55.67,VII,Very Strong,1
222.86,51.98,VII,Very Strong,1
222.98,19.99,V,Moderate,1
223.09,12.79,V,Moderate,1
223.21,50.65,VII,Very Strong,1
223.32,1.61,II,Very Weak,0
223.43,11.41,V,Moderate,1
223.54,15.91,V,Moderate,1
223.65,29.36,VI,Strong,1
223.77,56.08,VII,Very Strong,1
223.88,50.5,VII,Very Strong,1
223.99,5.03,IV,Light,1
224.1,4.44,III,Weak,0
224.21,14.21,V,Moderate,1
224.32,19.67,V,Moderate,1
224.44,5.44,IV,Light,1
224.54,16.76,V,Moderate,1
224.66,55.81,VII,Very Strong,1
224.77,31.93,VI,Strong,1
224.88,26.33,VI,Strong,1
224.99,11.69,V,Moderate,1
225.11,0.38,I,Instrumental,0
225.21,0.7,I,Instrumental,0
225.33,4.75,III,Weak,0
225.44,9.59,IV,Light,1
225.55,2.94,III,Weak,0
225.66,1.42,II,Very Weak,0
225.77,1.77,II,Very Weak,0
225.89,13.01,V,Moderate,1
226.0,23.47,V,Moderate,1
226.11,76.16,VII,Very Strong,1
226.22,51.36,VII,Very Strong,1
226.33,23.85,V,Moderate,1
226.44,69.26,VII,Very Strong,1
226.56,21.56,V,Moderate,1
226.67,11.0,V,Moderate,1
226.79,7.71,IV,Light,1
226.9,9.15,IV,Light,1
227.01,11.12,V,Moderate,1
227.12,24.75,V,Moderate,1
227.23,75.32,VII,Very Strong,1
227.34,49.95,VI,Strong,1
227.45,25.93,VI,Strong,1
227.56,67.85,VII,Very Strong,1
227.67,23.04,V,Moderate,1
227.78,8.35,IV,Light,1
227.89,9.63,IV,Light,1
228.0,3.71,III,Weak,0
228.12,4.66,III,Weak,0
228.22,0.16,I,Instrumental,0
228.34,1.63,II,Very Weak,0
228.44,2.73,III,Weak,0
228.56,2.72,III,Weak,0
228.67,7.76,IV,Light,1
228.78,0.25,I,Instrumental,0
228.89,3.57,III,Weak,0
229.01,17.79,V,Moderate,1
229.11,30.79,VI,Strong,1
229.22,5.43,IV,Light,1
229.34,7.86,IV,Light,1
229.45,14.41,V,Moderate,1
229.56,11.82,V,Moderate,1
229.67,6.85,IV,Light,1
229.78,5.03,IV,Light,1
229.89,1.14,II,Very Weak,0
230.0,2.8,III,Weak,0
230.11,19.26,V,Moderate,1
230.22,31.94,VI,Strong,1
230.33,2.31,III,Weak,0
230.44,6.31,IV,Light,1
230.55,29.91,VI,Strong,1
230.67,1.77,II,Very Weak,0
230.78,7.55,IV,Light,1
230.9,15.34,V,Moderate,1
231.01,18.01,V,Moderate,1
231.13,32.73,VI,Strong,1
231.24,16.64,V,Moderate,1
231.35,44.03,VI,Strong,1
231.47,35.93,VI,Strong,1
231.59,45.79,VI,Strong,1
231.7,18.87,V,Moderate,1
231.81,65.11,VII,Very Strong,1
231.92,7.99,IV,Light,1
232.03,0.81,I,Instrumental,0
232.15,8.93,IV,Light,1
232.27,47.43,VI,Strong,1
232.38,95.09,VII,Very Strong,1
232.49,57.84,VII,Very Strong,1
232.6,7.45,IV,Light,1
232.72,25.42,VI,Strong,1
232.84,62.91,VII,Very Strong,1
232.95,11.49,V,Moderate,1
233.07,13.38,V,Moderate,1
233.19,3.39,III,Weak,0
233.3,11.96,V,Moderate,1
233.42,5.61,IV,Light,1
233.54,97.99,VII,Very Strong,1
233.65,17.26,V,Moderate,1
233.77,26.76,VI,Strong,1
233.88,6.78,IV,Light,1
234.0,18.69,V,Moderate,1
234.11,66.66,VII,Very Strong,1
234.23,83.53,VII,Very Strong,1
234.34,40.52,VI,Strong,1
234.46,35.1,VI,Strong,1
234.57,5.22,IV,Light,1
234.68,11.57,V,Moderate,1
234.8,10.06,V,Moderate,1
234.91,0.7,I,Instrumental,0
235.02,10.04,V,Moderate,1
235.14,8.86,IV,Light,1
235.25,66.58,VII,Very Strong,1
235.37,45.71,VI,Strong,1
235.48,120.45,VIII,Severe,1
235.59,66.12,VII,Very Strong,1
235.7,37.65,VI,Strong,1
235.82,14.48,V,Moderate,1
235.93,26.96,VI,Strong,1
236.05,41.5,VI,Strong,1
236.16,31.32,VI,Strong,1
236.27,17.45,V,Moderate,1
236.38,59.6,VII,Very Strong,1
236.49,0.77,I,Instrumental,0
236.6,87.24,VII,Very Strong,1
236.71,32.52,VI,Strong,1
236.82,45.12,VI,Strong,1
236.93,23.84,V,Moderate,1
237.05,20.53,V,Moderate,1
237.15,40.31,VI,Strong,1
237.26,29.24,VI,Strong,1
237.38,2.78,III,Weak,0
237.49,40.98,VI,Strong,1
237.6,18.63,V,Moderate,1
237.71,21.37,V,Moderate,1
237.83,7.93,IV,Light,1
237.94,11.16,V,Moderate,1
238.06,25.42,VI,Strong,1
238.17,14.92,V,Moderate,1
238.28,11.81,V,Moderate,1
238.39,30.78,VI,Strong,1
238.5,1.05,II,Very Weak,0
238.62,48.41,VI,Strong,1
238.73,33.13,VI,Strong,1
238.84,22.76,V,Moderate,1
238.95,1.74,II,Very Weak,0
239.06,29.31,VI,Strong,1
239.17,8.88,IV,Light,1
239.28,0.35,I,Instrumental,0
239.39,25.98,VI,Strong,1
239.5,57.33,VII,Very Strong,1
239.62,22.17,V,Moderate,1
239.72,15.11,V,Moderate,1
239.84,12.63,V,Moderate,1
239.95,5.86,IV,Light,1
240.07,1.94,II,Very Weak,0
240.18,27.91,VI,Strong,1
240.3,41.17,VI,Strong,1
240.41,13.06,V,Moderate,1
240.53,9.35,IV,Light,1
240.64,13.55,V,Moderate,1
240.75,20.21,V,Moderate,1
240.86,5.11,IV,Light,1
240.98,13.77,V,Moderate,1
241.09,0.43,I,Instrumental,0
241.21,8.62,IV,Light,1
241.32,13.88,V,Moderate,1
241.44,4.42,III,Weak,0
241.55,8.81,IV,Light,1
241.66,37.94,VI,Strong,1
241.77,39.35,VI,Strong,1
241.9,0.0,I,Instrumental,0
242.01,19.21,V,Moderate,1
242.12,21.27,V,Moderate,1
242.23,30.73,VI,Strong,1
242.35,23.24,V,Moderate,1
242.46,5.35,IV,Light,1
242.57,37.28,VI,Strong,1
242.68,29.55,VI,Strong,1
242.8,1.01,II,Very Weak,0
242.91,7.49,IV,Light,1
243.03,13.8,V,Moderate,1
243.13,9.89,IV,Light,1
243.24,1.43,II,Very Weak,0
243.35,23.88,V,Moderate,1
243.46,45.67,VI,Strong,1
243.58,4.44,III,Weak,0
243.68,51.49,VII,Very Strong,1
243.8,35.07,VI,Strong,1
243.9,2.79,III,Weak,0
244.01,13.21,V,Moderate,1
244.12,29.31,VI,Strong,1
244.23,2.03,III,Weak,0
244.34,3.91,III,Weak,0
244.45,0.12,I,Instrumental,0
244.56,23.4,V,Moderate,1
244.67,0.97,I,Instrumental,0
244.77,13.53,V,Moderate,1
244.88,2.41,III,Weak,0
244.99,9.27,IV,Light,1
245.1,4.47,III,Weak,0
245.21,42.03,VI,Strong,1
245.32,6.92,IV,Light,1
245.44,30.75,VI,Strong,1
245.55,21.31,V,Moderate,1
245.66,14.04,V,Moderate,1
245.77,1.23,II,Very Weak,0
245.88,8.88,IV,Light,1
245.99,7.99,IV,Light,1
246.1,19.03,V,Moderate,1
246.21,4.66,III,Weak,0
246.32,46.85,VI,Strong,1
246.43,1.76,II,Very Weak,0
246.55,34.09,VI,Strong,1
246.66,26.34,VI,Strong,1
246.77,15.04,V,Moderate,1
246.87,4.02,III,Weak,0
246.98,4.36,III,Weak,0
247.09,24.98,V,Moderate,1
247.2,3.79,III,Weak,0
247.31,8.25,IV,Light,1
247.42,2.4,III,Weak,0
247.53,0.08,I,Instrumental,0
247.64,27.11,VI,Strong,1
247.75,24.74,V,Moderate,1
247.86,39.46,VI,Strong,1
247.97,11.78,V,Moderate,1
248.08,21.02,V,Moderate,1
248.2,23.04,V,Moderate,1
248.31,9.08,IV,Light,1
248.42,12.09,V,Moderate,1
248.52,1.57,II,Very Weak,0
248.63,1.63,II,Very Weak,0
248.74,26.73,VI,Strong,1
248.85,23.75,V,Moderate,1
248.96,34.31,VI,Strong,1
249.07,16.76,V,Moderate,1
249.18,8.48,IV,Light,1
249.29,9.57,IV,Light,1
249.4,11.32,V,Moderate,1
249.51,0.47,I,Instrumental,0
249.62,0.16,I,Instrumental,0
249.73,0.09,I,Instrumental,0
249.84,2.47,III,Weak,0
249.95,3.71,III,Weak,0
250.06,60.79,VII,Very Strong,1
250.17,6.24,IV,Light,1
250.28,2.8,III,Weak,0
250.39,47.38,VI,Strong,1
250.5,6.78,IV,Light,1
250.61,38.33,VI,Strong,1
250.72,15.89,V,Moderate,1
250.83,5.44,IV,Light,1
250.94,5.01,IV,Light,1
251.05,7.11,IV,Light,1
251.16,53.88,VII,Very Strong,1
251.26,13.24,V,Moderate,1
251.38,13.08,V,Moderate,1
251.49,34.18,VI,Strong,1
251.6,1.75,II,Very Weak,0
251.71,36.43,VI,Strong,1
251.82,14.87,V,Moderate,1
251.93,3.91,III,Weak,0
252.04,1.81,II,Very Weak,0
252.15,3.86,III,Weak,0
252.26,1.08,II,Very Weak,0
252.37,0.17,I,Instrumental,0
252.48,1.17,II,Very Weak,0
252.59,0.44,I,Instrumental,0
252.71,0.22,I,Instrumental,0
252.82,0.85,I,Instrumental,0
252.93,0.51,I,Instrumental,0
253.04,0.65,I,Instrumental,0
253.15,1.57,II,Very Weak,0
253.26,0.45,I,Instrumental,0
253.37,0.28,I,Instrumental,0
253.48,0.22,I,Instrumental,0
253.59,0.25,I,Instrumental,0
253.7,0.53,I,Instrumental,0
253.81,0.1,I,Instrumental,0
253.92,0.23,I,Instrumental,0
254.03,1.45,II,Very Weak,0
254.14,0.85,I,Instrumental,0
254.25,0.16,I,Instrumental,0
254.36,0.0,I,Instrumental,0
254.47,0.25,I,Instrumental,0
254.58,0.17,I,Instrumental,0
254.69,0.17,I,Instrumental,0
254.8,0.87,I,Instrumental,0
254.91,1.82,II,Very Weak,0
255.02,0.62,I,Instrumental,0
255.13,1.39,II,Very Weak,0
255.24,0.24,I,Instrumental,0
255.34,0.17,I,Instrumental,0
255.45,0.39,I,Instrumental,0
255.56,0.52,I,Instrumental,0
255.67,0.27,I,Instrumental,0
255.78,0.0,I,Instrumental,0
255.89,0.41,I,Instrumental,0
256.0,0.07,I,Instrumental,0
256.11,1.57,II,Very Weak,0
256.22,0.47,I,Instrumental,0
256.34,0.99,I,Instrumental,0
256.45,0.03,I,Instrumental,0
256.56,0.06,I,Instrumental,0
256.67,0.11,I,Instrumental,0
256.78,0.12,I,Instrumental,0
256.89,0.11,I,Instrumental,0
257.0,0.32,I,Instrumental,0
257.1,1.24,II,Very Weak,0
257.21,1.5,II,Very Weak,0
257.32,1.07,II,Very Weak,0
257.43,2.3,III,Weak,0
257.53,0.05,I,Instrumental,0
257.64,0.29,I,Instrumental,0
257.75,0.53,I,Instrumental,0
257.86,0.6,I,Instrumental,0
257.97,1.38,II,Very Weak,0
258.08,0.72,I,Instrumental,0
258.19,0.29,I,Instrumental,0
258.3,0.26,I,Instrumental,0
258.41,0.23,I,Instrumental,0
258.52,1.12,II,Very Weak,0
258.63,0.56,I,Instrumental,0
258.74,0.08,I,Instrumental,0
258.85,0.33,I,Instrumental,0
258.95,0.76,I,Instrumental,0
259.06,1.28,II,Very Weak,0
259.17,0.31,I,Instrumental,0
259.28,0.36,I,Instrumental,0
259.39,0.8,I,Instrumental,0
259.49,0.54,I,Instrumental,0
259.6,0.77,I,Instrumental,0
259.72,0.96,I,Instrumental,0
259.83,0.14,I,Instrumental,0
259.94,1.23,II,Very Weak,0
260.05,1.74,II,Very Weak,0
260.16,0.56,I,Instrumental,0
260.27,1.89,II,Very Weak,0
260.38,11.46,V,Moderate,1
260.49,7.71,IV,Light,1
260.6,3.02,III,Weak,0
260.71,0.26,I,Instrumental,0
260.83,10.54,V,Moderate,1
260.94,20.48,V,Moderate,1
261.05,16.96,V,Moderate,1
261.16,15.13,V,Moderate,1
261.27,12.82,V,Moderate,1
261.38,23.21,V,Moderate,1
261.48,5.4,IV,Light,1
261.6,1.91,II,Very Weak,0
261.71,6.01,IV,Light,1
261.82,23.79,V,Moderate,1
261.93,6.48,IV,Light,1
262.04,8.59,IV,Light,1
262.15,5.55,IV,Light,1
262.26,3.56,III,Weak,0
262.37,3.21,III,Weak,0
262.48,13.9,V,Moderate,1
262.59,8.19,IV,Light,1
262.7,11.09,V,Moderate,1
262.81,2.56,III,Weak,0
262.92,7.92,IV,Light,1
263.03,7.41,IV,Light,1
263.14,20.76,V,Moderate,1
263.25,11.55,V,Moderate,1
263.36,2.3,III,Weak,0
263.47,9.5,IV,Light,1
263.59,1.14,II,Very Weak,0
263.7,11.62,V,Moderate,1
263.81,9.57,IV,Light,1
263.92,12.15,V,Moderate,1
264.03,2.41,III,Weak,0
264.14,12.23,V,Moderate,1
264.25,5.32,IV,Light,1
264.36,46.03,VI,Strong,1
264.48,21.31,V,Moderate,1
264.58,24.28,V,Moderate,1
264.69,9.92,IV,Light,1
264.8,19.55,V,Moderate,1
264.91,2.75,III,Weak,0
265.02,10.18,V,Moderate,1
265.13,6.34,IV,Light,1
265.25,3.44,III,Weak,0
265.36,9.12,IV,Light,1
265.47,21.59,V,Moderate,1
265.58,1.83,II,Very Weak,0
265.69,10.1,V,Moderate,1
265.81,12.2,V,Moderate,1
265.92,17.83,V,Moderate,1
266.03,1.09,II,Very Weak,0
266.14,6.96,IV,Light,1
266.24,4.85,III,Weak,0
266.36,10.54,V,Moderate,1
266.46,0.27,I,Instrumental,0
266.58,14.52,V,Moderate,1
266.68,10.4,V,Moderate,1
266.8,5.95,IV,Light,1
266.9,11.63,V,Moderate,1
267.01,11.16,V,Moderate,1
267.12,2.94,III,Weak,0
267.23,8.08,IV,Light,1
267.34,4.92,III,Weak,0
267.45,1.95,II,Very Weak,0
267.56,3.58,III,Weak,0
267.68,1.26,II,Very Weak,0
267.78,14.05,V,Moderate,1
267.9,12.55,V,Moderate,1
268.01,13.44,V,Moderate,1
268.12,3.34,III,Weak,0
268.23,7.69,IV,Light,1
268.34,0.76,I,Instrumental,0
268.45,2.72,III,Weak,0
268.56,7.28,IV,Light,1
268.68,7.67,IV,Light,1
268.79,4.43,III,Weak,0
268.9,23.71,V,Moderate,1
269.01,5.42,IV,Light,1
269.12,11.29,V,Moderate,1
269.23,1.92,II,Very Weak,0
269.34,11.56,V,Moderate,1
269.45,2.27,III,Weak,0
269.56,20.9,V,Moderate,1
269.67,12.72,V,Moderate,1
269.78,10.54,V,Moderate,1
269.9,5.27,IV,Light,1
270.0,0.97,I,Instrumental,0
270.12,20.78,V,Moderate,1
270.22,25.92,VI,Strong,1
270.33,20.38,V,Moderate,1
270.44,21.06,V,Moderate,1
270.57,9.79,IV,Light,1
270.67,8.34,IV,Light,1
270.79,1.99,II,Very Weak,0
270.89,26.1,VI,Strong,1
271.0,4.54,III,Weak,0
271.11,25.66,VI,Strong,1
271.22,57.66,VII,Very Strong,1
271.33,63.45,VII,Very Strong,1
271.44,31.1,VI,Strong,1
271.55,44.31,VI,Strong,1
271.66,34.52,VI,Strong,1
271.77,23.38,V,Moderate,1
271.88,20.43,V,Moderate,1
271.99,21.09,V,Moderate,1
272.1,10.59,V,Moderate,1
272.22,1.63,II,Very Weak,0
272.33,27.99,VI,Strong,1
272.44,31.37,VI,Strong,1
272.55,9.04,IV,Light,1
272.66,13.83,V,Moderate,1
272.77,4.33,III,Weak,0
272.88,0.67,I,Instrumental,0
272.99,8.61,IV,Light,1
273.1,24.96,V,Moderate,1
273.21,3.12,III,Weak,0
273.32,3.64,III,Weak,0
273.43,1.65,II,Very Weak,0
273.55,5.7,IV,Light,1
273.65,4.35,III,Weak,0
273.76,4.9,III,Weak,0
273.87,0.99,I,Instrumental,0
273.98,6.89,IV,Light,1
274.09,16.0,V,Moderate,1
2.55,0.0,I,Instrumental,0
2.68,98.1,VII,Very Strong,1
2.79,3.51,III,Weak,0
2.9,27.7,VI,Strong,1
3.0,23.37,V,Moderate,1
3.11,33.91,VI,Strong,1
3.22,4.65,III,Weak,0
3.33,0.14,I,Instrumental,0
3.45,15.49,V,Moderate,1
3.58,13.66,V,Moderate,1
3.71,32.0,VI,Strong,1
3.84,30.87,VI,Strong,1
3.95,0.03,I,Instrumental,0
4.06,9.34,IV,Light,1
4.18,24.47,V,Moderate,1
4.28,8.32,IV,Light,1
4.4,14.34,V,Moderate,1
4.51,3.6,III,Weak,0
4.62,2.73,III,Weak,0
4.73,9.03,IV,Light,1
4.84,27.32,VI,Strong,1
4.95,15.92,V,Moderate,1
5.06,8.83,IV,Light,1
5.16,10.96,V,Moderate,1
5.28,21.91,V,Moderate,1
5.38,29.73,VI,Strong,1
5.5,9.57,IV,Light,1
5.61,5.84,IV,Light,1
5.72,28.89,VI,Strong,1
5.83,5.59,IV,Light,1
5.94,2.35,III,Weak,0
6.05,6.82,IV,Light,1
6.16,25.79,VI,Strong,1
6.27,21.75,V,Moderate,1
6.38,8.3,IV,Light,1
6.48,7.85,IV,Light,1
6.59,15.78,V,Moderate,1
6.7,19.68,V,Moderate,1
6.81,10.19,V,Moderate,1
6.92,1.37,II,Very Weak,0
7.03,4.11,III,Weak,0
7.14,8.15,IV,Light,1
7.25,21.19,V,Moderate,1
7.36,6.99,IV,Light,1
7.47,6.95,IV,Light,1
7.57,22.56,V,Moderate,1
7.68,4.18,III,Weak,0
7.79,15.02,V,Moderate,1
7.95,6.51,IV,Light,1
8.07,23.0,V,Moderate,1
8.18,2.45,III,Weak,0
8.29,15.5,V,Moderate,1
8.4,12.62,V,Moderate,1
8.5,19.14,V,Moderate,1
8.61,5.15,IV,Light,1
8.74,5.03,IV,Light,1
8.85,14.31,V,Moderate,1
8.97,0.15,I,Instrumental,0
9.08,4.17,III,Weak,0
9.19,17.59,V,Moderate,1
9.3,9.74,IV,Light,1
9.41,3.86,III,Weak,0
9.52,4.21,III,Weak,0
9.63,13.61,V,Moderate,1
9.74,9.08,IV,Light,1
9.85,14.68,V,Moderate,1
9.96,9.04,IV,Light,1
195.35,9.08,IV,Light,1
195.47,8.33,IV,Light,1
195.57,7.17,IV,Light,1
195.68,10.93,V,Moderate,1
195.79,11.85,V,Moderate,1
195.91,1.22,II,Very Weak,0
196.01,0.01,I,Instrumental,0
196.13,6.58,IV,Light,1
196.24,7.51,IV,Light,1
196.35,2.39,III,Weak,0
196.46,12.77,V,Moderate,1
196.57,14.58,V,Moderate,1
196.68,1.43,II,Very Weak,0
196.78,4.94,III,Weak,0
196.89,3.95,III,Weak,0
197.01,10.53,V,Moderate,1
197.11,9.66,IV,Light,1
197.22,0.58,I,Instrumental,0
197.33,2.45,III,Weak,0
197.44,7.11,IV,Light,1
197.55,9.55,IV,Light,1
197.66,21.57,V,Moderate,1
197.76,21.17,V,Moderate,1
197.88,4.49,III,Weak,0
197.99,0.26,I,Instrumental,0
198.1,16.16,V,Moderate,1
198.21,1.0,II,Very Weak,0
198.39,12.26,V,Moderate,1
198.5,3.79,III,Weak,0
198.61,23.97,V,Moderate,1
198.72,6.38,IV,Light,1
198.83,11.2,V,Moderate,1
198.94,30.11,VI,Strong,1
199.05,3.35,III,Weak,0
199.17,7.64,IV,Light,1
199.28,1.17,II,Very Weak,0
199.39,13.24,V,Moderate,1
199.49,3.33,III,Weak,0
199.61,14.68,V,Moderate,1
199.73,19.01,V,Moderate,1
199.84,17.5,V,Moderate,1
199.95,11.3,V,Moderate,1
200.06,22.45,V,Moderate,1
200.17,7.18,IV,Light,1
200.28,6.39,IV,Light,1
200.39,4.67,III,Weak,0
200.51,2.17,III,Weak,0
200.62,8.19,IV,Light,1
200.74,18.93,V,Moderate,1
200.85,0.36,I,Instrumental,0
200.97,17.24,V,Moderate,1
201.07,4.04,III,Weak,0
201.18,5.89,IV,Light,1
201.29,5.2,IV,Light,1
201.41,0.21,I,Instrumental,0
201.52,9.1,IV,Light,1
201.62,1.51,II,Very Weak,0
201.74,7.61,IV,Light,1
201.85,9.94,IV,Light,1
201.96,12.7,V,Moderate,1
202.07,9.22,IV,Light,1
202.19,5.21,IV,Light,1
202.3,10.91,V,Moderate,1
202.41,0.98,I,Instrumental,0
202.52,0.98,I,Instrumental,0
202.63,14.67,V,Moderate,1
202.74,3.38,III,Weak,0
202.85,0.78,I,Instrumental,0
202.96,1.42,II,Very Weak,0
203.07,16.32,V,Moderate,1
203.18,11.04,V,Moderate,1
203.29,2.49,III,Weak,0
203.4,7.47,IV,Light,1
203.52,8.26,IV,Light,1
203.64,1.27,II,Very Weak,0
203.75,2.47,III,Weak,0
203.86,7.95,IV,Light,1
203.97,5.82,IV,Light,1
204.08,4.85,III,Weak,0
204.19,12.72,V,Moderate,1
204.31,17.88,V,Moderate,1
204.42,4.53,III,Weak,0
204.54,6.61,IV,Light,1
204.65,2.11,III,Weak,0
204.77,1.62,II,Very Weak,0
204.88,0.03,I,Instrumental,0
204.99,24.78,V,Moderate,1
205.1,11.04,V,Moderate,1
205.21,16.13,V,Moderate,1
205.33,12.18,V,Moderate,1
205.45,1.75,II,Very Weak,0
205.58,0.58,I,Instrumental,0
205.69,15.52,V,Moderate,1
205.8,22.58,V,Moderate,1
205.91,2.17,III,Weak,0
206.02,9.08,IV,Light,1
206.13,10.49,V,Moderate,1
206.24,5.2,IV,Light,1
206.35,14.7,V,Moderate,1
206.46,27.17,VI,Strong,1
206.57,23.44,V,Moderate,1
206.68,22.16,V,Moderate,1
206.79,4.53,III,Weak,0
206.91,10.1,V,Moderate,1
207.02,2.77,III,Weak,0
207.13,6.19,IV,Light,1
207.24,3.18,III,Weak,0
207.35,9.14,IV,Light,1
207.51,21.1,V,Moderate,1
207.63,35.72,VI,Strong,1
207.74,0.86,I,Instrumental,0
207.85,24.35,V,Moderate,1
207.96,3.16,III,Weak,0
208.07,12.03,V,Moderate,1
208.18,6.86,IV,Light,1
208.29,0.5,I,Instrumental,0
208.4,0.71,I,Instrumental,0
208.51,0.82,I,Instrumental,0
208.62,20.22,V,Moderate,1
208.73,16.67,V,Moderate,1
208.84,0.75,I,Instrumental,0
208.95,20.82,V,Moderate,1
209.06,6.24,IV,Light,1
209.17,9.91,IV,Light,1
209.29,12.59,V,Moderate,1
209.4,10.85,V,Moderate,1
209.51,4.75,III,Weak,0
209.62,3.45,III,Weak,0
209.72,17.35,V,Moderate,1
209.84,2.69,III,Weak,0
209.94,9.48,IV,Light,1
210.05,24.42,V,Moderate,1
210.16,10.56,V,Moderate,1
210.27,14.84,V,Moderate,1
210.38,6.5,IV,Light,1
210.49,0.57,I,Instrumental,0
210.62,5.84,IV,Light,1
210.72,0.19,I,Instrumental,0
210.84,3.92,III,Weak,0
210.94,14.87,V,Moderate,1
211.05,2.31,III,Weak,0
211.16,21.16,V,Moderate,1
211.27,4.98,III,Weak,0
211.38,14.91,V,Moderate,1
211.49,21.28,V,Moderate,1
211.6,28.01,VI,Strong,1
211.7,22.56,V,Moderate,1
211.82,17.59,V,Moderate,1
211.92,29.58,VI,Strong,1
212.04,4.42,III,Weak,0
212.15,17.63,V,Moderate,1
212.26,2.84,III,Weak,0
212.36,8.27,IV,Light,1
212.48,1.23,II,Very Weak,0
212.58,6.17,IV,Light,1
212.69,18.85,V,Moderate,1
212.8,21.18,V,Moderate,1
212.91,33.96,VI,Strong,1
213.02,23.5,V,Moderate,1
213.13,13.91,V,Moderate,1
213.25,13.77,V,Moderate,1
213.36,5.22,IV,Light,1
213.48,16.54,V,Moderate,1
213.6,0.64,I,Instrumental,0
213.71,12.1,V,Moderate,1
213.83,2.6,III,Weak,0
213.94,5.15,IV,Light,1
214.07,12.04,V,Moderate,1
214.19,1.34,II,Very Weak,0
214.3,2.78,III,Weak,0
214.42,10.23,V,Moderate,1
214.54,0.67,I,Instrumental,0
214.65,13.67,V,Moderate,1
214.76,10.85,V,Moderate,1
214.87,7.86,IV,Light,1
214.98,2.68,III,Weak,0
215.09,8.53,IV,Light,1
215.2,16.28,V,Moderate,1
215.32,0.81,I,Instrumental,0
215.43,7.31,IV,Light,1
215.54,1.31,II,Very Weak,0
215.65,3.25,III,Weak,0
215.76,11.38,V,Moderate,1
215.88,14.15,V,Moderate,1
215.98,1.22,II,Very Weak,0
216.12,9.12,IV,Light,1
216.22,0.79,I,Instrumental,0
216.34,23.39,V,Moderate,1
216.45,22.65,V,Moderate,1
216.59,2.3,III,Weak,0
216.71,24.25,V,Moderate,1
216.83,19.61,V,Moderate,1
216.94,7.64,IV,Light,1
217.06,23.18,V,Moderate,1
217.17,0.12,I,Instrumental,0
217.28,0.89,I,Instrumental,0
217.4,4.0,III,Weak,0
217.51,19.75,V,Moderate,1
217.62,28.14,VI,Strong,1
217.73,13.37,V,Moderate,1
217.84,24.07,V,Moderate,1
217.95,0.01,I,Instrumental,0
218.06,12.07,V,Moderate,1
218.2,19.21,V,Moderate,1
218.33,12.07,V,Moderate,1
218.43,20.94,V,Moderate,1
218.55,1.08,II,Very Weak,0
218.67,4.33,III,Weak,0
218.78,16.53,V,Moderate,1
218.92,17.65,V,Moderate,1
219.03,9.39,IV,Light,1
219.15,16.61,V,Moderate,1
219.27,9.77,IV,Light,1
219.37,19.93,V,Moderate,1
219.48,3.98,III,Weak,0
219.59,32.56,VI,Strong,1
219.7,12.77,V,Moderate,1
219.81,7.28,IV,Light,1
219.93,8.05,IV,Light,1
220.03,1.13,II,Very Weak,0
220.15,7.63,IV,Light,1
220.26,11.51,V,Moderate,1
220.38,8.92,IV,Light,1
220.49,18.77,V,Moderate,1
220.61,6.12,IV,Light,1
220.72,16.0,V,Moderate,1
220.84,18.83,V,Moderate,1
220.95,19.72,V,Moderate,1
221.07,0.88,I,Instrumental,0
221.18,17.31,V,Moderate,1
221.31,8.59,IV,Light,1
221.43,4.96,III,Weak,0
221.54,3.3,III,Weak,0
221.65,4.05,III,Weak,0
221.76,5.58,IV,Light,1
221.88,9.39,IV,Light,1
221.99,7.04,IV,Light,1
222.11,12.62,V,Moderate,1
222.22,5.26,IV,Light,1
222.34,1.35,II,Very Weak,0
222.46,15.35,V,Moderate,1
222.57,9.76,IV,Light,1
222.68,7.59,IV,Light,1
222.79,1.0,II,Very Weak,0
222.9,4.52,III,Weak,0
223.01,14.71,V,Moderate,1
223.12,19.97,V,Moderate,1
223.23,5.86,IV,Light,1
223.35,2.42,III,Weak,0
223.46,1.03,II,Very Weak,0
223.57,16.43,V,Moderate,1
223.68,17.37,V,Moderate,1
